Date,P,Ep
2017-06-01,5.259999999999999,4.055415058489405
2017-06-02,5.11,4.811729151186898
2017-06-03,18.889999999999997,4.5524649467050855
2017-06-04,7.2299999999999995,3.719466456013983
2017-06-05,1.88,1.44683179770982
2017-06-06,1.25,2.2266791849948513
2017-06-07,0.0,4.12035222065817
2017-06-08,0.0,4.731879849241758
2017-06-09,0.01,3.529621638138744
2017-06-10,0.0,4.653602601698647
2017-06-11,0.0,5.7757482656033625
2017-06-12,0.25,3.9847943795793133
2017-06-13,0.0,5.617379399066274
2017-06-14,0.0,3.8843618948309553
2017-06-15,23.160000000000007,5.467155564580094
2017-06-16,3.6799999999999975,5.08324325338161
2017-06-17,0.0,4.9341399750048796
2017-06-18,0.0,5.646572381776872
2017-06-19,0.0,5.732310419330012
2017-06-20,0.0,6.303102252395413
2017-06-21,0.0,5.212847792636244
2017-06-22,0.0,6.1488096646755634
2017-06-23,0.0,6.240216963652296
2017-06-24,0.0,2.927799741104305
2017-06-25,5.16,3.968983205594854
2017-06-26,4.76,5.667845550601292
2017-06-27,0.05,3.682795584409247
2017-06-28,41.099999999999994,3.514925409340271
2017-06-29,4.170000000000001,4.118503784495941
2017-06-30,1.99,4.9386544825508025
2017-07-01,0.47000000000000003,3.9203408657543823
2017-07-02,15.020000000000001,1.2708089319495088
2017-07-03,1.01,4.149088094152726
2017-07-04,0.0,4.8787116469515786
2017-07-05,0.0,5.686601092389751
2017-07-06,0.0,6.209442486295988
2017-07-07,1.87,5.805358548838317
2017-07-08,0.44,5.312821253508454
2017-07-09,27.930000000000003,3.051331121031738
2017-07-10,22.249999999999993,3.164468698048933
2017-07-11,3.8099999999999996,3.22213813832114
2017-07-12,3.8699999999999997,4.275778634051367
2017-07-13,0.33999999999999997,4.181663673396005
2017-07-14,4.08,3.5963656461748004
2017-07-15,0.0,3.7569946384750095
2017-07-16,0.0,4.291835954404877
2017-07-17,0.0,5.075750180263469
2017-07-18,0.0,4.518054200863471
2017-07-19,0.0,5.664438329600928
2017-07-20,5.84,3.5902696439831683
2017-07-21,6.49,4.3603734056874766
2017-07-22,21.030000000000005,4.811283396874646
2017-07-23,2.1000000000000005,2.425101519669357
2017-07-24,17.779999999999998,1.9382239124625487
2017-07-25,19.74,1.963336787035692
2017-07-26,7.49,2.242751689572364
2017-07-27,2.6800000000000006,2.3370995270328816
2017-07-28,6.640000000000001,2.3409221338974975
2017-07-29,0.0,4.104943162974068
2017-07-30,0.35,4.533002320011318
2017-07-31,0.62,3.616485975781657
2017-08-01,2.6500000000000004,4.5135510482213395
2017-08-02,0.0,4.943868416361604
2017-08-03,0.0,5.028485897805289
2017-08-04,0.0,3.727813010668199
2017-08-05,0.0,4.4300712217712155
2017-08-06,2.11,2.327371085676159
2017-08-07,0.0,4.575752094923576
2017-08-08,5.000000000000001,1.9079027150020693
2017-08-09,3.08,2.21424677822286
2017-08-10,16.2,1.0097322706769376
2017-08-11,11.879999999999999,1.068550720846495
2017-08-12,1.8800000000000001,2.4719427576228563
2017-08-13,0.0,3.8450060713551646
2017-08-14,0.0,4.261505316700718
2017-08-15,3.6199999999999997,4.412417222547991
2017-08-16,0.0,3.734138060344773
2017-08-17,0.20999999999999996,3.968979376274639
2017-08-18,14.840000000000003,4.424407704327944
2017-08-19,0.18,2.9918378690649843
2017-08-20,0.0,3.4386525678906947
2017-08-21,0.0,2.4330175042353197
2017-08-22,0.0,3.7626410570341715
2017-08-23,0.0,3.8633291283952644
2017-08-24,13.670000000000002,3.806755619764826
2017-08-25,0.0,3.601118641449345
2017-08-26,0.0,4.228472628241396
2017-08-27,1.69,3.0404611953612406
2017-08-28,0.0,3.4176217161151117
2017-08-29,0.0,4.030054122887104
2017-08-30,1.07,3.934122876120771
2017-08-31,21.910000000000007,0.8999999999999998
2017-09-01,19.15,1.0685507208464944
2017-09-02,16.14,1.3325869341470669
2017-09-03,0.0,2.2936635954196385
2017-09-04,0.0,2.687998163316259
2017-09-05,0.0,3.39364649653553
2017-09-06,0.0,2.519898940762342
2017-09-07,0.0,2.200430570088253
2017-09-08,0.0,2.6101628407651907
2017-09-09,12.040000000000001,0.7846193961037935
2017-09-10,6.330000000000001,1.7651605987302392
2017-09-11,0.0,1.7056483332192691
2017-09-12,10.35,1.5120856853497053
2017-09-13,3.6099999999999994,2.3001692394951987
2017-09-14,13.71,2.2934003501664777
2017-09-15,0.0,2.0907002140714233
2017-09-16,3.23,1.8153806038962073
2017-09-17,11.849999999999998,1.7040839374576684
2017-09-18,0.38,1.670807017289401
2017-09-19,8.700000000000001,1.3576846244962093
2017-09-20,0.31000000000000005,1.6187726406725684
2017-09-21,0.0,2.1524782162689813
2017-09-22,0.0,2.191388285432516
2017-09-23,0.0,2.129623552798852
2017-09-24,0.0,2.0610766612725704
2017-09-25,0.0,1.9741971394056566
2017-09-26,1.2000000000000002,1.523975219579582
2017-09-27,0.33,1.814258133126647
2017-09-28,0.0,1.7456941427162573
2017-09-29,2.42,1.5434378462733507
2017-09-30,15.82,1.692525940426077
2017-10-01,0.93,1.261076661272571
2017-10-02,0.11,1.0719408429627488
2017-10-03,12.560000000000002,1.282808853973141
2017-10-04,0.0,1.2827936697491393
2017-10-05,9.34,2.6517730460237794
2017-10-06,2.14,0.9850651504160481
2017-10-07,0.0,1.4273672563559439
2017-10-08,4.010000000000001,0.897053717535893
2017-10-09,0.67,0.8662925097434805
2017-10-10,0.0,1.4045125928858144
2017-10-11,0.0,1.7153635050120977
2017-10-12,0.0,1.7067688893287214
2017-10-13,0.0,1.423975219579582
